"serverTime","source","sign","sourceTime","logLevel","process","message"
"Tue Mar 06 2018 20:53:19 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 20:53:19 GMT-0500 (EST)","4","checkHeartbeat","First heartbeat from existing sign"
"Tue Mar 06 2018 21:01:00 GMT-0500 (EST)","server","server","Tue Mar 06 2018 21:01:00 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Tue Mar 06 2018 21:01:00 GMT-0500 (EST)","server","server","Tue Mar 06 2018 21:01:00 GMT-0500 (EST)","4","server.start","Server started, configuration sharpie"
"Tue Mar 06 2018 21:03:18 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:03:18 GMT-0500 (EST)","4","checkHeartbeat","First heartbeat from existing sign"
"Tue Mar 06 2018 21:04:32 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:04:32 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 13 minutes)"
"Tue Mar 06 2018 21:07:52 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:07:52 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 16 minutes)"
"Tue Mar 06 2018 21:10:31 GMT-0500 (EST)","server","server","Tue Mar 06 2018 21:10:31 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Tue Mar 06 2018 21:10:31 GMT-0500 (EST)","server","server","Tue Mar 06 2018 21:10:31 GMT-0500 (EST)","4","server.start","Server started, configuration sharpie"
"Tue Mar 06 2018 21:13:19 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:13:19 GMT-0500 (EST)","4","checkHeartbeat","First heartbeat from existing sign"
"Tue Mar 06 2018 21:14:02 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:14:02 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 23 minutes)"
"Tue Mar 06 2018 21:17:22 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:17:22 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 26 minutes)"
"Tue Mar 06 2018 21:20:42 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:20:42 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 30 minutes)"
"Tue Mar 06 2018 21:24:02 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:24:02 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 33 minutes)"
"Tue Mar 06 2018 21:27:22 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:27:22 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 36 minutes)"
"Tue Mar 06 2018 21:30:42 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:30:42 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 40 minutes)"
"Tue Mar 06 2018 21:34:02 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:34:02 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 43 minutes)"
"Tue Mar 06 2018 21:37:22 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:37:22 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 46 minutes)"
"Tue Mar 06 2018 21:40:42 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:40:42 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 50 minutes)"
"Tue Mar 06 2018 21:44:02 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:44:02 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 53 minutes)"
"Tue Mar 06 2018 21:47:22 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:47:22 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 56 minutes)"
"Tue Mar 06 2018 21:50:42 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:50:42 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 1 hour)"
"Tue Mar 06 2018 21:54:02 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:54:02 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 1 hour)"
"Tue Mar 06 2018 21:57:22 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 21:57:22 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 1 hour)"
"Tue Mar 06 2018 22:00:42 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 22:00:42 GMT-0500 (EST)","4","checkHeartbeat","Sign has reset (uptime was for 1 hour)"
